request;response
Ich habe Probleme beim Einloggen. Der Benutzername 'Markus1980' funktioniert nicht, obwohl ich das Passwort korrekt eingebe.;{"Kategorie": "Sonstiges","Antwort": "Hallo Markus1980, bitte prüfe, ob du den richtigen Benutzernamen und das Passwort verwendest. Falls das Problem weiterhin besteht, kontaktiere uns, damit wir dein Konto prüfen können.","Vorname": "","Nachname": "","Passwort": "","Benutzername": "Markus1980"}
Ich möchte mein Passwort ändern, da ich es vergessen habe. Mein Benutzername ist 'JuliaS'.;{"Kategorie": "Password zurücksetzen","Antwort": "Hallo Julia S., wir haben dein Passwort zurückgesetzt. Ein neues Passwort wurde an deine hinterlegte E-Mail-Adresse gesendet. Folge den Anweisungen, um dein Passwort zu ändern.","Vorname": "Julia","Nachname": "S.","Passwort": "Neues Passwort wurde gesendet","Benutzername": "JuliaS"}
Ich würde mich gerne als neuer Benutzer registrieren. Mein Name ist Sophie Schmitt und mein Wunsch-Benutzername ist 'SophieS'.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo Sophie Schmitt, dein Benutzerkonto mit dem Benutzernamen 'SophieS' wurde erfolgreich erstellt. Du kannst dich nun mit deinem Benutzernamen und einem selbst gewählten Passwort anmelden.","Vorname": "Sophie","Nachname": "Schmitt","Passwort": "Selbst gewähltes Passwort","Benutzername": "SophieS"}
Ich habe mein Passwort vergessen. Der Benutzername lautet 'PaulTennis'.;{"Kategorie": "Password zurücksetzen","Antwort": "Hallo PaulTennis, wir haben dein Passwort zurückgesetzt. Ein neues Passwort wurde an deine E-Mail-Adresse gesendet. Bitte folge den Anweisungen, um dein Passwort zu ändern.","Vorname": "","Nachname": "","Passwort": "Neues Passwort wurde gesendet","Benutzername": "PaulTennis"}
Könnten Sie bitte mein Passwort zurücksetzen? Der Benutzername ist 'Katrin_H'.;{"Kategorie": "Password zurücksetzen","Antwort": "Hallo Katrin_H, wir haben dein Passwort zurückgesetzt. Ein neues Passwort wurde an deine hinterlegte E-Mail-Adresse gesendet. Folge den Anweisungen, um dein Passwort zu ändern.","Vorname": "Katrin","Nachname": "H.","Passwort": "Neues Passwort wurde gesendet","Benutzername": "Katrin_H"}
Ich möchte mich als neuer Benutzer anmelden. Mein Name ist Christian Becker, und mein Benutzername sollte 'CBecker' sein.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo Christian Becker, dein Benutzerkonto mit dem Benutzernamen 'CBecker' wurde erfolgreich erstellt. Du kannst dich nun mit deinem Benutzernamen und einem selbst gewählten Passwort anmelden.","Vorname": "Christian","Nachname": "Becker","Passwort": "Selbst gewähltes Passwort","Benutzername": "CBecker"}
Ich kann mich nicht einloggen, obwohl ich den richtigen Benutzernamen 'SabineTennis' habe. Was soll ich tun?;{"Kategorie": "Sonstiges","Antwort": "Hallo SabineTennis, versuche bitte, dein Passwort zurückzusetzen. Wenn das Problem weiterhin besteht, melde dich erneut, damit wir dein Konto prüfen können.","Vorname": "","Nachname": "","Passwort": "","Benutzername": "SabineTennis"}
Mein Benutzername ist 'LauraW', aber ich kann mich nicht mehr einloggen. Was kann ich tun?;{"Kategorie": "Sonstiges","Antwort": "Hallo LauraW, bitte versuche, dein Passwort zurückzusetzen. Falls das Problem weiterhin auftritt, kontaktiere uns, damit wir dein Konto überprüfen können.","Vorname": "Laura","Nachname": "W.","Passwort": "","Benutzername": "LauraW"}
Ich möchte mein Passwort zurücksetzen. Der Benutzername ist 'Stefan01';{"Kategorie": "Password zurücksetzen","Antwort": "Hallo Stefan01, wir haben dein Passwort zurückgesetzt. Ein neues Passwort wurde an deine E-Mail-Adresse gesendet. Bitte überprüfe deinen Posteingang und folge den Anweisungen, um dein Passwort zu ändern.","Vorname": "","Nachname": "","Passwort": "Neues Passwort wurde gesendet","Benutzername": "Stefan01"}
Mein Name ist Oliver Baum, und ich möchte mich als neuer Benutzer anmelden. Mein gewünschter Benutzername ist 'OliverB'.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo Oliver Baum, dein Benutzerkonto mit dem Benutzernamen 'OliverB' wurde erfolgreich erstellt. Du kannst dich nun mit deinem Benutzernamen und einem selbst gewählten Passwort anmelden.","Vorname": "Oliver","Nachname": "Baum","Passwort": "Selbst gewähltes Passwort","Benutzername": "OliverB"}
Hallo, ich habe mein Passwort vergessen. Mein Benutzername ist 'max.muster' und ich möchte das Passwort zurücksetzen.;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Max, dein Passwort wurde zurückgesetzt. Du erhältst in Kürze eine E-Mail mit einem neuen Passwort. Bitte ändere es nach der Anmeldung.","Vorname": "Max","Nachname": "Muster","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "max.muster"}
Ich möchte mich registrieren. Mein Name ist Anna Schmidt und mein gewünschter Benutzername lautet 'anna.s'.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo Anna, dein Benutzerkonto wurde erfolgreich erstellt. Du kannst dich jetzt mit deinem Benutzernamen 'anna.s' und dem Passwort, das du bei der Registrierung angegeben hast, anmelden.","Vorname": "Anna","Nachname": "Schmidt","Passwort": "Passwort, das bei der Registrierung gewählt wurde","Benutzername": "anna.s"}
Ich habe Probleme mit der Buchung von Tennishallen. Immer wenn ich versuche, ein Court zu reservieren, wird die Buchung nicht bestätigt. Könnte es an einem technischen Problem liegen?;{"Kategorie": "Sonstiges","Antwort": "Hallo, vielen Dank für deine Anfrage. Wir prüfen derzeit das Problem mit der Buchung und werden uns schnellstmöglich bei dir melden. Bitte versuche es später noch einmal. Entschuldige die Unannehmlichkeiten.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Nicht relevant","Benutzername": "Nicht angegeben"}
Mein Benutzername ist 'julia.meyer', aber ich kann mich nicht mehr einloggen. Könnt ihr mir bitte mein Passwort zurücksetzen?;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Julia, dein Passwort wurde zurückgesetzt. Du erhältst in Kürze eine E-Mail mit einem neuen Passwort. Bitte ändere es nach der Anmeldung.","Vorname": "Julia","Nachname": "Meyer","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "julia.meyer"}
Ich möchte einen neuen Benutzer anlegen lassen. Mein Name ist Peter König und der Benutzername sollte 'peter.k' lauten.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo Peter, dein Benutzerkonto mit dem Benutzernamen 'peter.k' wurde erfolgreich erstellt. Du kannst dich nun mit den Zugangsdaten anmelden.","Vorname": "Peter","Nachname": "König","Passwort": "Passwort, das bei der Registrierung gewählt wurde","Benutzername": "peter.k"}
Ich habe das Gefühl, dass jemand auf mein Konto zugreift. Kann ich mein Passwort ändern lassen?;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo, dein Passwort wurde zurückgesetzt. Du erhältst in Kürze eine E-Mail mit einem neuen Passwort. Bitte ändere es nach der Anmeldung und stelle sicher, dass du alle Sicherheitsvorkehrungen triffst.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "Nicht angegeben"}
Ich kann mich nicht mit meinem Benutzernamen 'sophie.w' einloggen, obwohl ich sicher bin, dass das Passwort richtig ist. Kannst du mir helfen?;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Sophie, dein Passwort wurde zurückgesetzt. Du erhältst in Kürze eine E-Mail mit einem neuen Passwort. Bitte versuche es anschließend noch einmal.","Vorname": "Sophie","Nachname": "Wagner","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "sophie.w"}
Ich möchte einen neuen Account für meinen Freund anlegen. Sein Name ist Tim Neumann, und der Benutzername soll 'timn' sein.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo, dein Benutzerkonto für Tim Neumann mit dem Benutzernamen 'timn' wurde erfolgreich erstellt. Er kann sich nun mit den Zugangsdaten anmelden.","Vorname": "Tim","Nachname": "Neumann","Passwort": "Passwort, das bei der Registrierung gewählt wurde","Benutzername": "timn"}
Ich kann keine Plätze mehr für diese Woche buchen. Sind die Buchungen für den kommenden Monat schon offen?;{"Kategorie": "Sonstiges","Antwort": "Hallo, die Buchungen für den kommenden Monat sollten bald verfügbar sein. Wir arbeiten daran, die Buchungsoptionen zu aktualisieren. Bitte versuche es später noch einmal.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Nicht relevant","Benutzername": "Nicht angegeben"}
Hallo, mein Benutzername ist 'michael.b', aber ich kann mich nicht mehr anmelden. Könnt ihr mir bitte helfen?;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Michael, dein Passwort wurde zurückgesetzt. Du erhältst in Kürze eine E-Mail mit einem neuen Passwort. Bitte ändere es nach der Anmeldung.","Vorname": "Michael","Nachname": "Bauer","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "michael.b"}
Hallo, ich habe mein Passwort vergessen. Mein Benutzername ist 'jan.schmidt'. Könnt ihr mir bitte helfen?;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Jan, dein Passwort wurde zurückgesetzt. Du wirst in Kürze eine E-Mail mit einem neuen Passwort erhalten. Bitte ändere es nach der Anmeldung.","Vorname": "Jan","Nachname": "Schmidt","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "jan.schmidt"}
Ich habe den Benutzernamen 'sarah.j' und möchte ein neues Konto anlegen. Was muss ich tun?;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo Sarah, dein Benutzerkonto mit dem Benutzernamen 'sarah.j' wurde erfolgreich erstellt. Du kannst dich nun mit den Zugangsdaten anmelden.","Vorname": "Sarah","Nachname": "Jansen","Passwort": "Passwort, das bei der Registrierung gewählt wurde","Benutzername": "sarah.j"}
Ich kann mich nicht einloggen. Mein Benutzername ist 'lucas.k'. Bitte helft mir.;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Lucas, dein Passwort wurde zurückgesetzt. Du wirst in Kürze eine E-Mail mit einem neuen Passwort erhalten. Bitte ändere es nach der Anmeldung.","Vorname": "Lucas","Nachname": "Klein","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "lucas.k"}
Ich möchte ein Benutzerkonto für meine Freundin anlegen. Ihr Name ist Claudia Meier, und der Benutzername sollte 'claudia.m' sein.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo, dein Benutzerkonto für Claudia Meier mit dem Benutzernamen 'claudia.m' wurde erfolgreich erstellt. Sie kann sich nun mit den Zugangsdaten anmelden.","Vorname": "Claudia","Nachname": "Meier","Passwort": "Passwort, das bei der Registrierung gewählt wurde","Benutzername": "claudia.m"}
Ich habe gerade versucht, mich anzumelden, aber mein Benutzername 'thomas.w' wird nicht akzeptiert. Könnt ihr mir helfen?;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Thomas, dein Passwort wurde zurückgesetzt. Du wirst in Kürze eine E-Mail mit einem neuen Passwort erhalten. Bitte ändere es nach der Anmeldung.","Vorname": "Thomas","Nachname": "Wagner","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "thomas.w"}
Ich möchte meine Buchung für den Tennisplatz ändern. Ist das möglich?;{"Kategorie": "Sonstiges","Antwort": "Hallo, leider können Buchungen momentan nicht nachträglich geändert werden. Bitte storniere die bestehende Buchung und erstelle eine neue. Wenn du weitere Hilfe benötigst, stehe ich gerne zur Verfügung.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Nicht relevant","Benutzername": "Nicht angegeben"}
Mein Benutzername ist 'maximilian.h' und ich habe mein Passwort vergessen. Könnt ihr mir helfen?;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Maximilian, dein Passwort wurde zurückgesetzt. Du wirst in Kürze eine E-Mail mit einem neuen Passwort erhalten. Bitte ändere es nach der Anmeldung.","Vorname": "Maximilian","Nachname": "Hoffmann","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "maximilian.h"}
Kann ich mein Konto auch auf einem anderen Gerät verwenden? Ich versuche, mich mit meinem Benutzerkonto 'elisabeth.b' einzuloggen, aber es funktioniert nicht.;{"Kategorie": "Sonstiges","Antwort": "Hallo Elisabeth, du kannst dein Konto auf jedem Gerät nutzen, solange du die richtigen Zugangsdaten verwendest. Bitte stelle sicher, dass du den richtigen Benutzernamen und das richtige Passwort eingibst. Wenn du weiterhin Probleme hast, melde dich bei uns.","Vorname": "Elisabeth","Nachname": "Bauer","Passwort": "Nicht relevant","Benutzername": "elisabeth.b"}
Ich möchte ein neues Benutzerkonto erstellen. Mein Name ist Lutz Becker, und der Benutzername sollte 'lutz.b' sein.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo Lutz, dein Benutzerkonto mit dem Benutzernamen 'lutz.b' wurde erfolgreich erstellt. Du kannst dich nun mit den Zugangsdaten anmelden.","Vorname": "Lutz","Nachname": "Becker","Passwort": "Passwort, das bei der Registrierung gewählt wurde","Benutzername": "lutz.b"}
Ich kann keine Buchung für das Wochenende vornehmen. Die Plätze sind alle ausgebucht. Was kann ich tun?;{"Kategorie": "Sonstiges","Antwort": "Hallo, leider sind alle Plätze für das Wochenende bereits ausgebucht. Du kannst es später noch einmal versuchen oder dich für eine spätere Buchung anmelden. Wir hoffen, dass bald wieder Plätze verfügbar sind.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Nicht relevant","Benutzername": "Nicht angegeben"}
Ich möchte mein Passwort ändern. Mein Benutzername ist 'susanne.k'.;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Susanne, dein Passwort wurde zurückgesetzt. Du wirst in Kürze eine E-Mail mit einem neuen Passwort erhalten. Bitte ändere es nach der Anmeldung.","Vorname": "Susanne","Nachname": "Kramer","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "susanne.k"}
Ich kann mein Passwort nicht ändern. Könnt ihr mir helfen?;{"Kategorie": "Sonstiges","Antwort": "Hallo, um das Passwort zu ändern, gehe bitte auf 'Passwort vergessen' und folge den Anweisungen. Wenn du weiterhin Schwierigkeiten hast, melde dich bei uns, und wir helfen dir gerne weiter.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Nicht relevant","Benutzername": "Nicht angegeben"}
Ich möchte ein neues Konto erstellen. Mein Name ist Mark Tiedemann und der Benutzername sollte 'mark.t' sein.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo Mark, dein Benutzerkonto mit dem Benutzernamen 'mark.t' wurde erfolgreich erstellt. Du kannst dich nun mit den Zugangsdaten anmelden.","Vorname": "Mark","Nachname": "Tiedemann","Passwort": "Passwort, das bei der Registrierung gewählt wurde","Benutzername": "mark.t"}
Ich kann mich nicht anmelden. Mein Benutzername ist 'katja.s'. Was kann ich tun?;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Katja, dein Passwort wurde zurückgesetzt. Du wirst in Kürze eine E-Mail mit einem neuen Passwort erhalten. Bitte ändere es nach der Anmeldung.","Vorname": "Katja","Nachname": "Schulz","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "katja.s"}
Ich habe ein Problem mit der Buchung des Tennisplatzes. Der Kalender zeigt keine freien Plätze an. Könnt ihr das prüfen?;{"Kategorie": "Sonstiges","Antwort": "Hallo, wir prüfen das Problem mit der Buchungsübersicht und werden es schnellstmöglich beheben. In der Zwischenzeit versuche es bitte später noch einmal.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Nicht relevant","Benutzername": "Nicht angegeben"}
Ich möchte meine Buchung für den Tennisplatz stornieren. Wie kann ich das tun?;{"Kategorie": "Sonstiges","Antwort": "Hallo, um deine Buchung zu stornieren, gehe bitte in deinem Profil auf 'Meine Buchungen' und wähle die entsprechende Stornierung aus. Bei weiteren Fragen helfen wir dir gerne weiter.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Nicht relevant","Benutzername": "Nicht angegeben"}
Ich möchte für mein Team ein Konto anlegen. Mein Name ist Julia Müller und der Benutzername sollte 'julia.m'.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo Julia, dein Benutzerkonto mit dem Benutzernamen 'julia.m' wurde erfolgreich erstellt. Du kannst dich nun mit den Zugangsdaten anmelden.","Vorname": "Julia","Nachname": "Müller","Passwort": "Passwort, das bei der Registrierung gewählt wurde","Benutzername": "julia.m"}
Mein Benutzername ist 'peter.f' und ich kann mich seit gestern nicht mehr einloggen. Kann das Passwort zurückgesetzt werden?;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Peter, dein Passwort wurde zurückgesetzt. Du wirst in Kürze eine E-Mail mit einem neuen Passwort erhalten. Bitte ändere es nach der Anmeldung.","Vorname": "Peter","Nachname": "Fischer","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "peter.f"}
Ich möchte für meine Tochter ein Benutzerkonto anlegen. Ihr Name ist Lisa Weber und der Benutzername sollte 'lisa.w' sein.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo, dein Benutzerkonto für Lisa Weber mit dem Benutzernamen 'lisa.w' wurde erfolgreich erstellt. Sie kann sich nun mit den Zugangsdaten anmelden.","Vorname": "Lisa","Nachname": "Weber","Passwort": "Passwort, das bei der Registrierung gewählt wurde","Benutzername": "lisa.w"}
Ich kann mein Passwort nicht zurücksetzen. Ich habe keinen Link erhalten. Was soll ich tun?;{"Kategorie": "Sonstiges","Antwort": "Hallo, es kann manchmal etwas dauern, bis der Link zum Zurücksetzen des Passworts ankommt. Bitte überprüfe auch deinen Spam-Ordner. Wenn der Link weiterhin nicht ankommt, melde dich bei uns und wir helfen dir weiter.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Nicht relevant","Benutzername": "Nicht angegeben"}
Ich habe ein Konto mit dem Benutzernamen 'heike.m'. Mein Passwort funktioniert nicht mehr. Könnt ihr mir ein neues Passwort zuschicken?;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Heike, dein Passwort wurde zurückgesetzt. Du wirst in Kürze eine E-Mail mit einem neuen Passwort erhalten. Bitte ändere es nach der Anmeldung.","Vorname": "Heike","Nachname": "Meyer","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "heike.m"}
Ich möchte mich anmelden, aber mein Benutzername 'rolf.b' wird nicht akzeptiert. Was soll ich tun?;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Rolf, dein Passwort wurde zurückgesetzt. Du wirst in Kürze eine E-Mail mit einem neuen Passwort erhalten. Bitte ändere es nach der Anmeldung.","Vorname": "Rolf","Nachname": "Bauer","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "rolf.b"}
Ich möchte meinen Account löschen. Wie gehe ich dabei vor?;{"Kategorie": "Sonstiges","Antwort": "Hallo, um deinen Account zu löschen, wende dich bitte direkt an den Support. Wir werden deinen Account dann umgehend deaktivieren. Melde dich, wenn du weitere Fragen hast.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Nicht relevant","Benutzername": "Nicht angegeben"}
Ich möchte ein Benutzerkonto für meinen Sohn anlegen. Sein Name ist Tom Krause und der Benutzername sollte 'tom.k' sein.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo, dein Benutzerkonto für Tom Krause mit dem Benutzernamen 'tom.k' wurde erfolgreich erstellt. Er kann sich nun mit den Zugangsdaten anmelden.","Vorname": "Tom","Nachname": "Krause","Passwort": "Passwort, das bei der Registrierung gewählt wurde","Benutzername": "tom.k"}
Ich versuche, mich auf der Buchungsseite anzumelden, aber es lädt immer nur die Startseite. Liegt das an meinem Account?;{"Kategorie": "Sonstiges","Antwort": "Hallo, es scheint ein technisches Problem zu geben. Bitte versuche es später noch einmal. Wir prüfen die Seite und beheben das Problem so schnell wie möglich. Entschuldige die Unannehmlichkeiten.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Nicht relevant","Benutzername": "Nicht angegeben"}
Ich habe das Passwort für mein Konto vergessen. Mein Benutzername lautet 'laura.n'.;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Laura, dein Passwort wurde zurückgesetzt. Du wirst in Kürze eine E-Mail mit einem neuen Passwort erhalten. Bitte ändere es nach der Anmeldung.","Vorname": "Laura","Nachname": "Neumann","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "laura.n"}
Ich habe mich für das Buchungssystem registriert, aber ich bekomme keine Bestätigungs-E-Mail. Was soll ich tun?;{"Kategorie": "Sonstiges","Antwort": "Hallo, es kann sein, dass die Bestätigungs-E-Mail im Spam-Ordner gelandet ist. Bitte prüfe diesen. Wenn du immer noch keine E-Mail erhalten hast, melde dich bitte bei uns, und wir senden dir eine neue Bestätigung zu.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Nicht relevant","Benutzername": "Nicht angegeben"}
Mein Benutzername ist 'oliver.h'. Ich möchte mein Passwort zurücksetzen, da ich mich nicht mehr einloggen kann.;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Oliver, dein Passwort wurde zurückgesetzt. Du wirst in Kürze eine E-Mail mit einem neuen Passwort erhalten. Bitte ändere es nach der Anmeldung.","Vorname": "Oliver","Nachname": "Huber","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "oliver.h"}
Ich möchte eine Reservierung vornehmen, aber die Webseite funktioniert nicht richtig. Was kann ich tun?;{"Kategorie": "Sonstiges","Antwort": "Hallo, wir überprüfen derzeit das technische Problem. Bitte versuche es später noch einmal. Sollte das Problem weiterhin bestehen, melde dich bei uns, und wir werden dir weiterhelfen.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Nicht relevant","Benutzername": "Nicht angegeben"}
Ich möchte ein Konto für meinen Bruder anlegen. Sein Name ist Erik Zimmermann, und der Benutzername sollte 'erik.z' sein.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo, dein Benutzerkonto für Erik Zimmermann mit dem Benutzernamen 'erik.z' wurde erfolgreich erstellt. Er kann sich nun mit den Zugangsdaten anmelden.","Vorname": "Erik","Nachname": "Zimmermann","Passwort": "Passwort, das bei der Registrierung gewählt wurde","Benutzername": "erik.z"}
Mein Benutzername ist 'anna.g'. Ich kann mich seit der letzten Änderung des Systems nicht mehr einloggen.;{"Kategorie": "Passwort zurücksetzen","Antwort": "Hallo Anna, dein Passwort wurde zurückgesetzt. Du wirst in Kürze eine E-Mail mit einem neuen Passwort erhalten. Bitte ändere es nach der Anmeldung.","Vorname": "Anna","Nachname": "Grimm","Passwort": "Neues Passwort wird per E-Mail gesendet","Benutzername": "anna.g"}
Ich kann auf meiner Buchungsseite keine freien Zeiten finden. Wurde etwas geändert?;{"Kategorie": "Sonstiges","Antwort": "Hallo, die freien Zeiten für den Tennisplatz sind derzeit sehr gefragt. Bitte versuche es zu einem späteren Zeitpunkt noch einmal oder melde dich bei uns, wenn du spezifische Fragen hast.","Vorname": "Nicht angegeben","Nachname": "Nicht angegeben","Passwort": "Nicht relevant","Benutzername": "Nicht angegeben"}
